Date,Ticker,Open,High,Low,Close,Volume
2025-04-23,MSFT,376.06,380.39,373.02,374.39,20545526
2025-04-24,MSFT,375.695,388.45,375.19,387.3,22232289
2025-04-25,MSFT,387.0,392.16,384.6,391.85,18973165
2025-04-28,MSFT,391.955,392.74,386.638,391.16,16579430
2025-04-29,MSFT,391.3,395.1,390.38,394.04,14973976
2025-04-30,MSFT,390.3,396.66,384.44,395.26,36461075
2025-05-01,MSFT,431.11,436.99,424.9,425.4,58938100
2025-05-02,MSFT,431.74,439.44,429.985,435.28,30757434
2025-05-05,MSFT,432.87,439.5,432.11,436.17,20136053
2025-05-06,MSFT,432.2,437.73,431.17,433.31,15104204
2025-05-07,MSFT,433.84,438.12,431.1103,433.35,23307241
2025-05-08,MSFT,437.93,443.67,435.66,438.17,23491330
2025-05-09,MSFT,440.0,440.74,435.88,438.73,15324233
2025-05-12,MSFT,445.94,449.37,439.78,449.26,22821935
2025-05-13,MSFT,447.78,450.6733,445.36,449.14,23618819
2025-05-14,MSFT,448.14,453.9,448.14,452.94,19902796
2025-05-15,MSFT,450.765,456.19,450.4301,453.13,21992323
2025-05-16,MSFT,452.05,454.36,448.73,454.27,23849781
2025-05-19,MSFT,450.875,459.585,450.8,458.87,21336509
2025-05-20,MSFT,455.59,458.34,454.3201,458.17,15441808
2025-05-21,MSFT,454.57,457.78,451.814,452.57,19216906
2025-05-22,MSFT,454.95,460.25,453.9,454.86,18025612
2025-05-23,MSFT,449.98,453.69,448.91,450.18,16883509
2025-05-27,MSFT,456.48,460.95,456.115,460.69,20974293
2025-05-28,MSFT,461.22,462.52,456.93,457.36,17086261
2025-05-29,MSFT,461.55,461.72,455.3105,458.68,13982211
2025-05-30,MSFT,459.715,461.68,455.54,460.36,34770475
2025-06-02,MSFT,457.14,462.11,456.89,461.97,16626495
2025-06-03,MSFT,461.47,464.14,460.8622,462.97,15743760
2025-06-04,MSFT,464.0,465.69,463.0201,463.87,14162688
2025-06-05,MSFT,464.955,469.65,464.03,467.68,20154460
2025-06-06,MSFT,470.085,473.335,468.78,470.38,15285624
2025-06-09,MSFT,469.7,473.43,468.62,472.75,16469932
2025-06-10,MSFT,471.185,472.8,466.96,470.92,15375944
2025-06-11,MSFT,470.02,475.47,469.655,472.62,16399176
2025-06-12,MSFT,475.02,480.415,473.52,478.87,18950582
2025-06-13,MSFT,476.41,479.18,472.76,474.96,16814456
2025-06-16,MSFT,475.21,480.6943,475.0,479.14,15626104
2025-06-17,MSFT,475.395,478.7399,474.08,478.04,15414128
2025-06-18,MSFT,478.0,481.0,474.46,480.24,17526452
